epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,392.443,1.84151,3.13287,1.52951,1.68253,0.70443,0.46591,0.50662,0.26967,0.72145,0.46307,0.49019,0.26148,1.66897,2.7107,1.50677,1.80513,0.00102301,0.00102301,0.00102301
82,397.046,1.79096,3.05486,1.50184,1.657,0.67754,0.47753,0.52364,0.2941,0.70073,0.48011,0.51811,0.28453,1.61401,2.67265,1.47826,1.75818,0.00102191,0.00102191,0.00102191
83,401.67,1.79462,3.12327,1.54812,1.69334,0.71652,0.47443,0.5217,0.27597,0.70611,0.45455,0.49864,0.27382,1.67722,2.69253,1.53867,1.79713,0.00102081,0.00102081,0.00102081
84,406.543,1.841,3.21627,1.51136,1.66474,0.67951,0.47443,0.51396,0.29127,0.6866,0.47303,0.50154,0.30295,1.61092,2.66608,1.63297,1.76738,0.00101971,0.00101971,0.00101971
85,411.107,1.76673,3.0921,1.47267,1.65755,0.68373,0.49148,0.52898,0.29774,0.73613,0.47159,0.52039,0.2992,1.65537,2.67012,1.52763,1.77602,0.00101861,0.00101861,0.00101861
86,415.389,1.67649,2.92746,1.52249,1.6566,0.72902,0.44886,0.50531,0.28156,0.73828,0.44034,0.49069,0.28452,1.61666,2.61122,1.56899,1.76153,0.00101751,0.00101751,0.00101751
87,419.955,1.77392,3.12169,1.47341,1.65089,0.8029,0.46307,0.56123,0.30646,0.78031,0.44886,0.5249,0.3045,1.61183,2.7337,1.45814,1.72888,0.00101641,0.00101641,0.00101641
88,424.509,1.73251,3.00102,1.44026,1.6212,0.70127,0.49716,0.54368,0.31359,0.70271,0.4858,0.53369,0.31506,1.57317,2.72892,1.4569,1.71315,0.00101531,0.00101531,0.00101531
89,429.167,1.7582,3.03648,1.4405,1.61098,0.71519,0.49716,0.55353,0.30867,0.76812,0.46112,0.53878,0.30813,1.63905,2.67782,1.4342,1.7583,0.00101421,0.00101421,0.00101421
90,433.626,1.74669,2.94948,1.4861,1.64353,0.73349,0.4535,0.52668,0.29914,0.77464,0.4375,0.51067,0.30481,1.64356,2.62079,1.48734,1.77174,0.00101311,0.00101311,0.00101311
91,438.189,1.75356,3.02108,1.45968,1.64582,0.74794,0.44602,0.51667,0.29756,0.78213,0.4375,0.50371,0.28827,1.61063,2.62543,1.44432,1.72618,0.00101201,0.00101201,0.00101201
92,442.576,1.64175,2.822,1.40527,1.57719,0.72246,0.4858,0.52878,0.29799,0.75966,0.44034,0.50585,0.31049,1.61802,2.59817,1.47828,1.76359,0.00101091,0.00101091,0.00101091
93,447.084,1.71021,2.9105,1.41988,1.58151,0.69242,0.49432,0.52162,0.29805,0.69417,0.46591,0.50699,0.30722,1.61884,2.56801,1.47628,1.7806,0.00100981,0.00100981,0.00100981
94,451.656,1.72094,2.98581,1.41752,1.60291,0.74164,0.48011,0.54282,0.3014,0.72765,0.47159,0.52028,0.3136,1.58701,2.69938,1.45559,1.72889,0.00100871,0.00100871,0.00100871
95,456.452,1.69156,2.85777,1.37395,1.55475,0.75661,0.48573,0.55009,0.31074,0.73796,0.47204,0.53134,0.314,1.56727,2.6078,1.44744,1.70875,0.00100761,0.00100761,0.00100761
96,461.04,1.7085,2.945,1.41833,1.58074,0.8001,0.47757,0.55634,0.29655,0.74987,0.4858,0.53996,0.30709,1.62297,2.55896,1.44902,1.76891,0.00100651,0.00100651,0.00100651
97,465.474,1.72545,2.9197,1.40987,1.58529,0.7083,0.51046,0.55278,0.29488,0.69613,0.49716,0.54007,0.30942,1.5947,2.51963,1.44268,1.69101,0.00100541,0.00100541,0.00100541
