epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,408.19,0.62811,2.54134,0.4473,0.54583,1.06661,0.93469,0.85714,0.90069,0.75536,0.76667,0.70417,0.69817,0.53635,0.59899,3.25779,0.49669,0.48212,1.13002,0.00176806,0.00176806,0.00176806
84,413.029,0.63447,2.65389,0.45731,0.54494,1.06867,0.94495,0.82143,0.86191,0.74001,0.83312,0.62406,0.65932,0.52515,0.61374,3.19733,0.50122,0.51506,1.13681,0.00176523,0.00176523,0.00176523
85,417.866,0.65223,2.76328,0.46463,0.54655,1.07108,0.79975,0.85584,0.85937,0.74031,0.82253,0.64286,0.62336,0.49688,0.56463,3.22968,0.50758,0.5784,1.17687,0.0017624,0.0017624,0.0017624
86,422.643,0.63311,2.66337,0.45698,0.53291,1.06287,0.79431,0.80357,0.80042,0.68512,0.74733,0.66071,0.63863,0.53409,0.61055,3.21348,0.47988,0.65234,1.16016,0.00175957,0.00175957,0.00175957
87,427.426,0.63143,2.63959,0.45692,0.53267,1.06456,0.89875,0.85714,0.87342,0.74981,0.80431,0.64286,0.64651,0.49365,0.56886,3.19874,0.48846,0.49818,1.14004,0.00175674,0.00175674,0.00175674
88,432.276,0.62127,2.5427,0.4492,0.54477,1.06312,0.93599,0.83929,0.90782,0.76604,0.85428,0.625,0.68434,0.56092,0.59704,3.22813,0.48693,0.45347,1.15641,0.00175391,0.00175391,0.00175391
89,437.126,0.61585,2.6972,0.45451,0.52647,1.05329,0.9106,0.82143,0.84708,0.73527,0.79185,0.67857,0.65679,0.50813,0.6177,3.43181,0.47131,0.5615,1.19715,0.00175109,0.00175109,0.00175109
90,441.99,0.60381,2.63755,0.45521,0.51839,1.04065,0.94104,0.85506,0.89185,0.76393,0.78261,0.69643,0.6778,0.51325,0.55525,3.38534,0.48753,0.44991,1.10232,0.00174826,0.00174826,0.00174826
91,446.842,0.60272,2.67625,0.45201,0.51826,1.04054,0.88813,0.85714,0.87825,0.75274,0.89713,0.64286,0.67291,0.54949,0.57613,3.11374,0.48211,0.45264,1.12086,0.00174543,0.00174543,0.00174543
92,451.848,0.62045,2.65961,0.4548,0.53639,1.04389,0.94714,0.76786,0.88809,0.74748,0.7788,0.69643,0.64044,0.46972,0.59324,3.37486,0.5061,0.49688,1.1388,0.0017426,0.0017426,0.0017426
93,456.804,0.60432,2.5544,0.44831,0.52377,1.04428,0.93844,0.81669,0.89866,0.77976,0.83905,0.65172,0.65816,0.53968,0.55454,3.32382,0.48371,0.47861,1.12538,0.00173977,0.00173977,0.00173977
94,461.689,0.5902,2.63083,0.45397,0.50831,1.03638,0.87077,0.89286,0.87735,0.74953,0.82414,0.625,0.64645,0.51753,0.57603,3.06644,0.48476,0.51109,1.12352,0.00173694,0.00173694,0.00173694
95,466.576,0.63802,2.58039,0.45459,0.54671,1.06677,0.93295,0.85714,0.89224,0.77511,0.82884,0.625,0.66139,0.52915,0.54806,3.21462,0.49436,0.45865,1.06813,0.00173411,0.00173411,0.00173411
96,471.538,0.60908,2.57354,0.44259,0.53506,1.05105,0.81976,0.89339,0.88546,0.75838,0.87279,0.625,0.65282,0.54131,0.5547,3.35424,0.49344,0.4445,1.11818,0.00173129,0.00173129,0.00173129
97,476.395,0.60635,2.53121,0.43978,0.52839,1.0535,0.89717,0.83929,0.86764,0.75936,0.75054,0.64476,0.62619,0.49156,0.54553,3.36831,0.4863,0.48392,1.09089,0.00172846,0.00172846,0.00172846
98,481.666,0.60226,2.49803,0.44424,0.51359,1.0494,0.9012,0.81452,0.89243,0.75119,0.87985,0.65392,0.66927,0.55264,0.55176,3.20139,0.48188,0.49785,1.08389,0.00172563,0.00172563,0.00172563
99,486.501,0.59617,2.62319,0.44469,0.52331,1.04102,0.84473,0.875,0.87346,0.76522,0.80538,0.67857,0.66365,0.51374,0.55787,3.16058,0.47499,0.55872,1.10136,0.0017228,0.0017228,0.0017228
100,491.312,0.56994,2.39573,0.43328,0.49696,1.02836,0.96065,0.87183,0.8912,0.75704,0.84241,0.66071,0.67396,0.53352,0.57225,3.29206,0.46026,0.48063,1.11402,0.00171997,0.00171997,0.00171997
101,496.058,0.58238,2.49177,0.44609,0.50174,1.0416,0.89536,0.83929,0.90383,0.7921,0.83003,0.67857,0.73035,0.58818,0.52208,3.04869,0.47341,0.43944,1.10033,0.00171714,0.00171714,0.00171714
102,500.866,0.59636,2.42711,0.4344,0.50462,1.04269,0.95346,0.7317,0.86453,0.75827,0.86542,0.66071,0.67019,0.52311,0.59994,3.29483,0.48209,0.53522,1.21519,0.00171431,0.00171431,0.00171431
103,505.666,0.57141,2.67149,0.4428,0.50474,1.02189,0.92287,0.85471,0.88373,0.78977,0.78246,0.70661,0.69988,0.53912,0.51609,3.19976,0.49166,0.4461,1.0777,0.00171149,0.00171149,0.00171149
104,510.422,0.60378,2.52103,0.44166,0.51156,1.04509,0.90361,0.83707,0.86952,0.775,0.80552,0.67857,0.64409,0.4981,0.51505,3.24323,0.48012,0.45166,1.05755,0.00170866,0.00170866,0.00170866
105,515.162,0.61234,2.55446,0.43823,0.52101,1.0478,0.89078,0.91071,0.91197,0.79699,0.83255,0.64286,0.67377,0.51023,0.49615,3.16989,0.477,0.41775,1.06679,0.00170583,0.00170583,0.00170583
106,519.965,0.59043,2.55376,0.44448,0.50857,1.04155,0.89055,0.87186,0.91575,0.79166,0.81195,0.66071,0.6644,0.50663,0.5443,3.25185,0.47708,0.4522,1.12792,0.001703,0.001703,0.001703
107,524.743,0.5959,2.50705,0.44152,0.50861,1.04036,0.90724,0.83929,0.87411,0.76057,0.71378,0.66808,0.65147,0.49418,0.57119,3.21814,0.47316,0.45965,1.21121,0.00170017,0.00170017,0.00170017
108,529.594,0.5856,2.55154,0.44446,0.51221,1.03264,0.84354,0.86657,0.88253,0.77963,0.8135,0.70108,0.71056,0.54878,0.53552,3.12013,0.47588,0.46643,1.09129,0.00169734,0.00169734,0.00169734
109,534.371,0.56416,2.54045,0.4414,0.4921,1.01795,0.92568,0.88975,0.89662,0.78095,0.81171,0.69643,0.70117,0.51701,0.54555,3.05325,0.4798,0.45422,1.07267,0.00169451,0.00169451,0.00169451
110,539.166,0.57462,2.41457,0.4252,0.50711,1.02987,0.85928,0.87234,0.88168,0.7537,0.85702,0.64221,0.65305,0.51757,0.60698,3.16361,0.47883,0.43433,1.24072,0.00169169,0.00169169,0.00169169
111,543.988,0.58259,2.57843,0.4453,0.5107,1.02905,0.90305,0.83178,0.90111,0.77348,0.87141,0.66071,0.67663,0.53335,0.55062,3.13646,0.45471,0.49649,1.08924,0.00168886,0.00168886,0.00168886
112,548.728,0.5668,2.43949,0.43136,0.48722,1.02094,0.91021,0.91071,0.90207,0.78647,0.83772,0.64533,0.69579,0.56733,0.50242,3.08708,0.47948,0.41822,1.0678,0.00168603,0.00168603,0.00168603
113,553.503,0.58836,2.35914,0.43121,0.50837,1.04541,0.88721,0.875,0.89928,0.77897,0.8743,0.69643,0.72561,0.5581,0.54476,3.10294,0.47974,0.43118,1.13862,0.0016832,0.0016832,0.0016832
114,558.266,0.59052,2.45051,0.43515,0.50348,1.03443,0.90666,0.82143,0.905,0.76531,0.8742,0.71429,0.73033,0.50285,0.58291,3.15979,0.4775,0.48955,1.12995,0.00168037,0.00168037,0.00168037
