epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,310.231,1.06979,4.40909,0.52355,0.99071,1.51499,0.76193,0.74304,0.77358,0.56897,0.77035,0.46429,0.51715,0.40144,0.98624,4.16937,0.60509,0.91074,1.55418,0.00182463,0.00182463,0.00182463
64,315.009,1.02434,4.24414,0.51921,0.96728,1.48082,0.91708,0.69643,0.8247,0.64446,0.76339,0.64286,0.65534,0.4557,0.88568,4.03009,0.59336,0.78541,1.44111,0.0018218,0.0018218,0.0018218
65,319.74,1.03449,4.34773,0.52452,0.97346,1.47583,0.83637,0.67857,0.75714,0.57518,0.71571,0.58451,0.59152,0.41183,0.86986,4.19728,0.59755,0.91904,1.44845,0.00181897,0.00181897,0.00181897
66,324.602,1.03047,4.37578,0.52013,0.97192,1.48755,0.85501,0.7372,0.79057,0.60708,0.76464,0.58026,0.58339,0.40138,0.89433,4.15805,0.60228,0.82795,1.50129,0.00181614,0.00181614,0.00181614
67,329.321,0.98246,4.28806,0.51544,0.91781,1.43752,0.88687,0.71429,0.83243,0.63412,0.83915,0.55357,0.61613,0.43127,0.85404,4.09263,0.59515,0.79585,1.47516,0.00181331,0.00181331,0.00181331
68,334.053,1.05303,4.4204,0.52043,0.97188,1.49546,0.86389,0.69643,0.76788,0.59955,0.73832,0.55357,0.5639,0.39718,0.88044,4.13046,0.58912,0.91279,1.49809,0.00181049,0.00181049,0.00181049
69,338.761,1.0079,4.26142,0.51248,0.93364,1.45224,0.81563,0.75,0.79486,0.60891,0.69115,0.51786,0.5003,0.37172,0.86679,4.36569,0.595,0.85744,1.44923,0.00180766,0.00180766,0.00180766
70,343.485,1.03161,4.2108,0.51833,0.94836,1.46105,0.87646,0.71429,0.78321,0.61514,0.7042,0.57143,0.53307,0.36086,0.83989,4.32338,0.59271,0.9006,1.47076,0.00180483,0.00180483,0.00180483
71,348.259,1.01602,4.33447,0.51341,0.92088,1.4614,0.90138,0.69643,0.8158,0.64979,0.80495,0.57143,0.60541,0.35951,0.8229,4.24824,0.5971,0.79656,1.37411,0.001802,0.001802,0.001802
72,353.129,1.03374,4.42251,0.52365,0.9458,1.47548,0.82734,0.76786,0.8083,0.63803,0.78521,0.625,0.62107,0.43736,0.83967,4.27233,0.58559,0.8297,1.38589,0.00179917,0.00179917,0.00179917
73,357.869,1.01665,4.27833,0.51882,0.93277,1.44768,0.87533,0.73214,0.81387,0.61899,0.7977,0.57143,0.5988,0.40338,0.85827,4.10539,0.58523,0.81384,1.45971,0.00179634,0.00179634,0.00179634
74,362.58,0.99334,4.2041,0.51574,0.92749,1.44252,0.85206,0.75,0.8239,0.64763,0.76967,0.60714,0.59773,0.41841,0.87373,3.98875,0.57541,0.78468,1.46336,0.00179351,0.00179351,0.00179351
75,367.327,0.99804,4.15984,0.51036,0.93797,1.44531,0.89055,0.72658,0.81722,0.65054,0.80234,0.55357,0.55194,0.36813,0.85195,4.12859,0.59215,0.82221,1.41396,0.00179069,0.00179069,0.00179069
76,372.081,0.97635,4.25756,0.51437,0.89935,1.42626,0.90231,0.67857,0.78678,0.61827,0.75392,0.60714,0.57707,0.411,0.92056,4.16985,0.59225,0.83045,1.43307,0.00178786,0.00178786,0.00178786
77,376.814,0.98767,4.14104,0.50675,0.90747,1.43939,0.85443,0.73372,0.81837,0.67006,0.7119,0.58929,0.58117,0.40991,0.81638,4.18111,0.58877,0.73068,1.38397,0.00178503,0.00178503,0.00178503
